joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
0.0094,1.3038,-10.04522,-10.04522
0.01899,2.83989,-8.3384,-8.25618
0.02844,4.21156,-7.07135,-6.89588
0.03797,5.66875,-5.54527,-4.88815
0.04715,6.71345,-4.77757,-4.51317
0.05596,7.29011,-4.51678,-4.25666
0.06522,8.42319,-2.98844,-2.62486
0.0741,9.08879,-2.63826,-2.3185
0.08372,10.65743,-0.43353,-0.06489
0.09296,11.76134,0.35722,0.80573
0.10224,12.92449,1.57073,2.57651
0.11124,13.7354,2.1463,2.7135
0.11978,13.98262,2.01102,2.22665
0.12881,14.82478,3.27493,3.61133
0.13812,16.02038,4.72502,5.58408
0.14736,17.12636,5.77807,6.67274
0.15676,18.43115,7.23017,8.00269
0.16601,19.55804,8.2429,9.26521
0.17478,20.08771,8.36705,9.29119
0.18385,20.98665,9.53123,10.07071
0.19234,21.16495,9.2181,9.5509
0.20178,22.5212,11.40094,12.06186
0.2111,23.72747,12.51251,13.35732
0.21951,23.8169,11.83558,12.07499
0.22808,24.09991,12.26144,12.9465
0.23752,25.44456,14.35201,15.93325
0.24679,26.59849,15.38288,15.7589
0.25602,27.69027,16.44079,17.26586
0.26546,29.04027,17.97937,19.78616
0.2744,29.78569,18.31431,19.25981
0.28387,31.17467,20.15921,21.78405
0.29325,32.45813,21.37885,23.49295
0.30279,33.9343,22.99824,25.04346
0.3122,35.2464,24.20594,27.66012
0.32168,36.6541,25.68944,28.85986
0.33007,36.71799,24.8295,24.97532
0.33957,38.13604,27.19645,30.64531
0.34875,39.16992,27.97302,30.31585
0.35809,40.40896,29.3637,31.51648
0.36755,41.78125,30.8379,33.33089
0.37598,41.89124,30.08064,30.38623
0.38441,42.00123,30.19906,30.58673
0.39387,43.38641,32.47831,35.36825
0.40313,44.51525,33.43859,36.21891
0.41243,45.70196,34.67474,38.87784
0.42146,46.54254,35.28424,39.1028
0.43083,47.81637,36.86799,40.92204
0.44002,48.85594,37.75425,42.07248
0.44901,49.66238,38.40794,41.51503
0.45804,50.51106,39.29496,43.0481
0.46709,51.37765,40.18304,45.01931
0.47643,52.60805,41.67514,45.56787
0.48573,53.78919,42.83141,47.76016
0.49512,55.09,44.22462,48.85206
0.50432,56.14481,45.11798,50.19251
0.51377,57.51576,46.71769,51.47443
0.52318,58.82239,47.98912,53.38543
0.53233,59.82423,48.78867,53.27664
0.54165,61.02846,50.14262,56.44998
0.55111,62.40842,51.65394,55.99553
0.56069,63.93173,53.28627,57.10598
0.5702,65.37294,54.68005,59.2334
0.57887,65.78565,54.38794,55.50698
0.58803,66.79645,55.8228,58.81112
0.5971,67.68677,56.63861,61.11426
0.60627,68.71106,57.76502,62.63741
0.6157,70.05175,59.33462,65.35026
0.62518,71.45649,60.79327,68.38559
0.63382,71.81953,60.44232,63.43807
0.64227,71.95517,60.42865,61.22734
0.65145,72.99041,62.09714,66.32767
0.66084,74.28251,63.57681,67.25544
0.66953,74.71119,63.41524,67.26649
0.67816,75.07402,63.74099,67.24747
0.68697,75.64687,64.46836,67.62577
0.69645,77.05397,66.46365,69.97825
0.70562,78.07508,67.22618,71.61837
0.71432,78.51504,67.27169,68.90741
0.72367,79.7595,69.0836,74.15618
0.73297,80.94642,70.23988,75.34078
0.74139,81.0387,69.58125,70.31384
0.75075,82.29146,71.64838,74.85
0.75922,82.45829,71.07036,72.45229
0.76872,83.87844,73.36946,80.65621
0.77773,84.70744,73.79737,78.40042
0.78642,85.13459,73.95447,77.55397
0.79479,85.17783,73.73973,74.39653
0.80422,86.51905,75.99081,84.014
0.81345,87.61408,76.92429,82.03383
0.82271,88.74736,78.09336,81.50245
0.83204,89.96723,79.38263,82.86991
0.84115,90.90738,80.13785,84.07432
0.85068,92.38,81.98937,88.88518
0.85955,93.03319,82.08298,88.22354
0.86894,94.31932,83.81758,88.43759
0.87839,95.68349,85.24534,90.6712
0.88731,96.40285,85.5263,91.39827
0.89679,97.80724,87.41539,95.17815
0.90546,98.20405,87.12191,92.55407
0.91485,99.50444,89.0585,95.49222
0.92425,100.80263,90.36458,98.19616
0.93356,101.99796,91.49785,98.34183
0.94192,102.03012,90.73147,91.03507
0.95137,103.38638,93.01573,101.33929
0.96048,104.33703,93.6941,101.11856
0.96962,105.31941,94.70764,102.1201
